Timestamp,Type,Status,Image
2025-06-12 01:27:08,Fingerprint,Fail,
2025-06-12 01:27:15,Face Recognition,Success,
2025-06-12 01:27:15,Fingerprint,Fail,
2025-06-12 01:27:27,Face Recognition,Success,
2025-06-12 01:27:27,Fingerprint,Fail,
2025-06-12 01:27:38,Face Recognition,Success,
2025-06-12 01:27:38,Fingerprint,Fail,
2025-06-12 01:27:49,Face Recognition,Success,
2025-06-12 01:27:50,Fingerprint,Fail,
2025-06-12 01:28:01,Face Recognition,Success,
2025-06-12 01:28:01,Fingerprint,Fail,
2025-06-12 01:28:12,Face Recognition,Success,
2025-06-12 01:28:12,Fingerprint,Fail,
2025-06-12 01:28:24,Face Recognition,Fail,2025-06-12_01-28-24.jpg
2025-06-12 01:28:27,Fingerprint,Fail,
2025-06-12 01:28:40,Face Recognition,Success,
2025-06-12 01:28:40,Fingerprint,Fail,
